svr_top_corr_k,svr_gamma,svr_C,VAL,QC
2.0,0.4,0.1,0.1175782789650213,0.1066354096963604
5.0,0.2,0.1,0.1191723838997478,0.10758679323981203
1.0,0.1,0.5,0.09472392139162786,0.08301036584034559
3.0,0.1,0.2,0.10895267019456696,0.09766627367906633
4.0,auto,0.5,0.09642474638459116,0.06071728022247753
1.0,0.1,0.1,0.1210316363587904,0.11467917203682187
2.0,0.5,0.1,0.11849780417929685,0.10696015578324224
2.0,0.1,0.1,0.11903349756398633,0.11158022427719906
4.0,0.2,0.1,0.11776528288258205,0.10705124579406858
3.0,0.2,0.2,0.10853453276318016,0.09277352759519188
